attempt_id,user_id,quiz_id,max_nav_similarity_zscore,mean_nav_similarity_zscore,median_step_duration,nav_revisits_count,quick_actions_count,std_nav_similarity_zscore,std_step_duration,sumgrades,is_cheater,cheating_group_id
1,1,1,2.6950806153476163,1.7462218360066064,-2.0438289629492146,1.7666646261929646,3.058143939847228,1.1022986499170129,-2.4612211135863964,-1.7472991348200642,1,group_high_severity_1
2,1,2,2.6390762190400343,0.11617529192832188,-2.265017586540769,0.867026369697502,3.058143939847228,2.278148645917771,-2.5624992403819618,-0.8976427063282392,1,group_high_severity_1
3,1,3,4.321960818172267,-0.9455611069830737,-2.080693733547807,-0.03261188679796042,0.4024965565334886,4.335507398663372,-2.622139521760829,-0.5500559855815832,1,group_high_severity_1
4,1,4,2.803363827605848,1.4092688950899113,-2.265017586540769,0.867026369697502,3.722055785675663,2.0225505496675047,-2.579566264778407,-1.6507472679459931,1,group_high_severity_1
5,2,1,3.628189841747455,-0.5544643273418915,-2.0438289629492146,0.41720724144977084,1.7303202481903583,2.984245752478455,-2.612670254770124,-1.2066086803252665,1,group_high_severity_1
6,2,2,3.8106795656045263,0.7751676027084043,-2.1175585041463996,0.867026369697502,1.7303202481903583,3.080089093116169,-2.546906459149364,-0.6466078524556542,1,group_high_severity_1
7,2,3,5.139694882990918,-2.3026954125616643,-2.1175585041463996,-0.48243101504569164,1.0664084023619234,5.381295203397941,-2.596614149030313,-0.08660702458604229,1,group_high_severity_1
8,2,4,3.2577906981992775,1.4807021776965608,-2.265017586540769,1.3168454979452333,6.3777031689894015,1.4858957707732068,-2.521676696170125,-1.72798876144525,1,group_high_severity_1
9,3,1,3.628189841747455,-0.48492049985641894,-2.1544232747449916,-0.03261188679796042,0.4024965565334886,2.9703675577929447,-2.5913276940356273,-0.7624700927045398,1,group_high_severity_1
10,3,2,3.8106795656045263,-0.9346760861983525,-2.1544232747449916,-0.03261188679796042,4.385967631504098,3.73861407068646,-2.5415398512717737,0.7244286571561552,1,group_high_severity_1
11,3,3,3.4478313006075023,-1.4849121920660069,-2.191288045343584,0.867026369697502,0.4024965565334886,3.2661766297237986,-2.613740852519257,-1.2645398004497088,1,group_high_severity_1
12,3,4,5.008175681225821,0.7686233100094942,-2.3018823571393616,-0.03261188679796042,1.0664084023619234,3.9423438033312124,-2.5579479145628565,0.37684193640949926,1,group_high_severity_1
13,4,1,2.50068285984765,0.6378389982457405,-2.265017586540769,0.867026369697502,5.049879477332532,1.5380229192309895,-2.466291036570257,-0.6272974790808398,1,group_high_severity_1
14,4,2,3.1051979805764454,0.6354369998293845,-2.080693733547807,-0.03261188679796042,1.7303202481903583,2.3794383679346343,-2.46461926415187,0.2416693227857999,1,group_high_severity_1
15,4,3,5.139694882990918,-1.354272833211508,-2.265017586540769,-0.48243101504569164,2.3942320940187933,5.029055886691366,-2.6234559613569437,0.2802900695354282,1,group_high_severity_1
16,4,4,5.008175681225821,0.6942154281573514,-2.191288045343584,-0.03261188679796042,2.3942320940187933,3.775129234179982,-2.5325936093392505,-0.18315889146011335,1,group_high_severity_1
17,5,1,3.6508153999126685,-0.026769665504054702,-2.412476668935139,-1.3820692715411542,3.058143939847228,3.1810742319707472,-2.646342849359316,-0.3762626252082555,1,group_high_severity_2
18,5,2,3.264500273969883,2.674017581310027,-2.191288045343584,1.7666646261929646,5.049879477332532,1.748472315732398,-2.4971889061911448,-2.056265108817092,1,group_high_severity_2
19,5,3,3.3083113003241484,3.0669933442861517,-2.1175585041463996,0.867026369697502,1.0664084023619234,1.3188262095988013,-2.576905661033751,-3.060404524307431,1,group_high_severity_2
20,5,4,4.096732613140994,-0.28133801874708975,-2.1175585041463996,-0.03261188679796042,2.3942320940187933,3.5716142779577527,-2.480930344803653,-0.4148833719578838,1,group_high_severity_2
21,6,1,3.628189841747455,1.3133287109790563,-2.080693733547807,0.41720724144977084,0.4024965565334886,2.028773828237997,-2.6078766229614256,-0.6466078524556542,1,group_high_severity_2
