attempt_id,user_id,quiz_id,cheating_probability,high_confidence_cheater,medium_confidence_cheater,low_confidence_cheater
2,24,7,0.9549553586274078,1,1,1
3,8,7,0.8968654061940495,1,1,1
5,8,8,0.9550187218604721,1,1,1
6,30,6,0.9702441393816144,1,1,1
7,30,6,0.9155802888247253,1,1,1
99,445,17,0.8909376375499563,1,1,1
107,445,15,0.8722875551854423,1,1,1
257,597,17,0.8905101042799423,1,1,1
298,702,19,0.8209526650516388,1,1,1
299,1535,19,0.8052195420812145,1,1,1
314,370,19,0.8027194496006156,1,1,1
329,523,19,0.8242930068936702,1,1,1
339,445,21,0.8482004318561761,1,1,1
344,366,19,0.8234527821058346,1,1,1
404,1582,19,0.8102195435310179,1,1,1
426,1549,19,0.8052195867619077,1,1,1
498,597,21,0.8490268982737108,1,1,1
539,280,25,0.9040982627935371,1,1,1
540,445,25,0.9040982627935371,1,1,1
683,212,27,0.8155061485389274,1,1,1
760,2252,22,0.847445413966268,1,1,1
854,280,29,0.8959315221753494,1,1,1
855,597,29,0.8948718777618129,1,1,1
905,1171,29,0.8155061485389274,1,1,1
1222,1675,35,0.8523814007141033,1,1,1
1492,9,15,0.8722691015424404,1,1,1
2134,9,51,0.9019654188484878,1,1,1
2135,438,51,0.9201863854304251,1,1,1
2136,84,51,0.9019654188484878,1,1,1
2319,2092,54,0.8030061485389274,1,1,1
2485,528,58,0.8931471371416801,1,1,1
2492,290,61,0.8663113154434465,1,1,1
2494,871,62,0.9387658338964465,1,1,1
2511,445,62,0.9388558778372382,1,1,1
2549,1949,67,0.8080061485389274,1,1,1
2567,575,67,0.8585292854834972,1,1,1
2584,1691,67,0.8585082684126524,1,1,1
2736,1481,78,0.8149823591621713,1,1,1
3017,1724,78,0.8292930090075676,1,1,1
3024,1711,78,0.824370967760804,1,1,1
3043,1725,78,0.8292930014950496,1,1,1
3074,1737,78,0.8197856597949549,1,1,1
3075,1749,78,0.8536160941555073,1,1,1
3083,1772,78,0.8242958049913174,1,1,1
3118,1494,78,0.8339252506696843,1,1,1
